link,place,address,price,date,price_per_m,total_area,living_area,kitchen_area,rooms,floor,total_floors,bathroom,developer,year,build,ceiling,elevator,parking,lat,long
https://realty.yandex.ru/offer/244102598290668375/?isExact=YES,Ленинский район,"Пермь, улица Луначарского, 99",7300000 ₽,26февраля (обновлено 6мая),91709 ₽ зам²,"79,6м² ","44,9м² ","13,9м² ",3 ,18,22, совмещённый,Застройщик Талан,2020,Монолитное,,Yes,Открытая,58.0039378,56.2234449
https://realty.yandex.ru/offer/4037630613832385497/?isExact=YES,Орджоникидзевский район,"Пермь, улица Карбышева, 47Б",2400000 ₽,23марта (обновлено 4часаназад),80000 ₽ зам²,30м² ,,,,9,25,,Застройщик Квартал,,Монолитное,,No,Открытая,58.109175,56.308237
https://realty.yandex.ru/offer/5225260195148589588/?isExact=YES,Ленинский район,"Пермь, улица Луначарского, 99",4500000 ₽,23марта (обновлено 4часаназад),89410 ₽ зам²,"50,3м² ",,10м² ,1 ,2,24, раздельный,Застройщик Талан,2021,Монолитное,,No,Открытая,58.0039378,56.2234449
https://realty.yandex.ru/offer/7169164680628905985/?isExact=YES,Мотовилихинский район,"Пермь, улица Звонарёва, 1",3920000 ₽,30марта (обновлено 6часовназад),67586 ₽ зам²,58м² ,39м² ,10м² ,3 ,3,9,,Индивидуальный проект,1984,Панельное,"2,6 м",Yes,Открытая,58.000737,56.3095
https://realty.yandex.ru/offer/1662136728822173697/?isExact=YES,Индустриальный район,"Пермь, улица Космонавта Леонова, 56А",2750000 ₽,7мая (обновлено 15мая),69444 ₽ зам²,"39,6м² ",,,1 ,13,14,,Индивидуальный проект,1995,Монолитное,"2,5 м",Yes,Открытая,57.966175,56.175067
https://realty.yandex.ru/offer/505414989014770688/?isExact=YES,Свердловский район,"Пермь, улица Солдатова, 29В",3290000 ₽,5часовназад,84359 ₽ зам²,39м² ,24м² ,6м² ,1 ,19,25,,Застройщик ГК «ПМД»,2018,Монолитное,"2,7 м",Yes,Закрытая,57.9703616,56.2299968
https://realty.yandex.ru/offer/7197037303360275788/?isExact=YES,Дзержинский район,"Пермь, Вильвенская улица, 2",6300000 ₽,6часовназад,102107 ₽ зам²,"61,7м² ","31,2м² ","16,3м² ",2 ,10,10,,Застройщик Ясно девелопмент,2015,Монолитное,"2,75 м",Yes,Открытая,57.9981884,56.2265392
https://realty.yandex.ru/offer/4817141739772003584/?isExact=YES,Мотовилихинский район,"Пермь, улица Добролюбова, 22",2390000 ₽,7часовназад,79667 ₽ зам²,30м² ,"16,6м² ","6,2м² ",1 ,5,5,,Индивидуальный проект,1969,Кирпичное,"2,5 м",No,Открытая,58.0158582,56.3023021
https://realty.yandex.ru/offer/7993093225073141504/?isExact=YES,Мотовилихинский район,"Пермь, улица Тургенева, 33Д",3700000 ₽,7часовназад,97625 ₽ зам²,"37,9м² ",15м² ,"12,7м² ",1 ,19,25,,Застройщик ГК «ПМД»,2020,Монолитное,"2,7 м",Yes,Закрытая,58.014032,56.294442
https://realty.yandex.ru/offer/2539278394750554880/?isExact=YES,Свердловский район,"Пермь, улица Механошина, 14",2400000 ₽,7часовназад,76677 ₽ зам²,"31,3м² ",19м² ,"5,9м² ",1 ,4,5,,Индивидуальный проект,1965,Панельное,"2,5 м",No,Открытая,58.0016263,56.2331988
